# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 21 09:12:17 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_eqt,pl_rade
GJ 3293,e,GJ 3293 e,Radial Velocity,,
GJ 3323,b,GJ 3323 b,Radial Velocity,,
GJ 3323,c,GJ 3323 c,Radial Velocity,,
GJ 3341,b,GJ 3341 b,Radial Velocity,,
GJ 3470,b,GJ 3470 b,Radial Velocity,594,4.570
GJ 3512,b,GJ 3512 b,Radial Velocity,,
GJ 357,b,GJ 357 b,Transit,525,1.217
GJ 357,c,GJ 357 c,Radial Velocity,401,
GJ 357,d,GJ 357 d,Radial Velocity,220,
GJ 3634,b,GJ 3634 b,Radial Velocity,,
GJ 3779,b,GJ 3779 b,Radial Velocity,,
GJ 3942,b,GJ 3942 b,Radial Velocity,590,
GJ 3998,b,GJ 3998 b,Radial Velocity,,
GJ 3998,c,GJ 3998 c,Radial Velocity,,
GJ 411,b,GJ 411 b,Radial Velocity,350,
GJ 422,b,GJ 422 b,Radial Velocity,,
GJ 4276,b,GJ 4276 b,Radial Velocity,,
GJ 433,b,GJ 433 b,Radial Velocity,,
GJ 433,c,GJ 433 c,Radial Velocity,,
GJ 433,d,GJ 433 d,Radial Velocity,,
GJ 436,b,GJ 436 b,Radial Velocity,,4.170
GJ 504,b,GJ 504 b,Imaging,510,
GJ 536,b,GJ 536 b,Radial Velocity,,
GJ 581,b,GJ 581 b,Radial Velocity,,
GJ 581,c,GJ 581 c,Radial Velocity,,
GJ 581,e,GJ 581 e,Radial Velocity,,
GJ 625,b,GJ 625 b,Radial Velocity,,
GJ 649,b,GJ 649 b,Radial Velocity,,
GJ 667 C,b,GJ 667 C b,Radial Velocity,,
GJ 667 C,c,GJ 667 C c,Radial Velocity,,
GJ 667 C,e,GJ 667 C e,Radial Velocity,,
GJ 667 C,f,GJ 667 C f,Radial Velocity,,
GJ 667 C,g,GJ 667 C g,Radial Velocity,,
GJ 674,b,GJ 674 b,Radial Velocity,,
GJ 676 A,b,GJ 676 A b,Radial Velocity,,
GJ 676 A,c,GJ 676 A c,Radial Velocity,,
GJ 676 A,d,GJ 676 A d,Radial Velocity,,
GJ 676 A,e,GJ 676 A e,Radial Velocity,,
GJ 682,b,GJ 682 b,Radial Velocity,,
GJ 682,c,GJ 682 c,Radial Velocity,,
GJ 685,b,GJ 685 b,Radial Velocity,,
GJ 687,b,GJ 687 b,Radial Velocity,,
GJ 832,b,GJ 832 b,Radial Velocity,,
GJ 832,c,GJ 832 c,Radial Velocity,,
GJ 849,b,GJ 849 b,Radial Velocity,,
GJ 86,b,GJ 86 b,Radial Velocity,,
GJ 876,b,GJ 876 b,Radial Velocity,,
GJ 876,c,GJ 876 c,Radial Velocity,,
GJ 876,d,GJ 876 d,Radial Velocity,,
GJ 876,e,GJ 876 e,Radial Velocity,,
GJ 96,b,GJ 96 b,Radial Velocity,,
GJ 9827,b,GJ 9827 b,Transit,,1.577
GJ 9827,c,GJ 9827 c,Transit,,1.241
GJ 9827,d,GJ 9827 d,Transit,,2.022
GQ Lup,b,GQ Lup b,Imaging,2650,33.600
GSC 06214-00210,b,GSC 06214-00210 b,Imaging,2300,
GU Psc,b,GU Psc b,Imaging,1050,14.179
Gl 378,b,Gl 378 b,Radial Velocity,830,
Gl 49,b,Gl 49 b,Radial Velocity,,
Gl 686,b,Gl 686 b,Radial Velocity,,
HAT-P-1,b,HAT-P-1 b,Transit,1322,14.785
HAT-P-11,b,HAT-P-11 b,Transit,,4.360
HAT-P-11,c,HAT-P-11 c,Radial Velocity,,
HAT-P-12,b,HAT-P-12 b,Transit,963,10.749
HAT-P-13,b,HAT-P-13 b,Transit,,14.258
HAT-P-13,c,HAT-P-13 c,Radial Velocity,,
HAT-P-14,b,HAT-P-14 b,Transit,,15.917
HAT-P-15,b,HAT-P-15 b,Transit,,11.882
HAT-P-16,b,HAT-P-16 b,Transit,1626,14.448
HAT-P-17,b,HAT-P-17 b,Transit,,11.769
HAT-P-17,c,HAT-P-17 c,Radial Velocity,,
HAT-P-18,b,HAT-P-18 b,Transit,852,11.153
HAT-P-19,b,HAT-P-19 b,Transit,1010,12.689
HAT-P-2,b,HAT-P-2 b,Transit,,
HAT-P-20,b,HAT-P-20 b,Transit,970,9.718
HAT-P-21,b,HAT-P-21 b,Transit,,12.442
HAT-P-22,b,HAT-P-22 b,Transit,,12.890
HAT-P-23,b,HAT-P-23 b,Transit,,12.218
HAT-P-24,b,HAT-P-24 b,Transit,,14.572
HAT-P-25,b,HAT-P-25 b,Transit,1182,12.722
HAT-P-26,b,HAT-P-26 b,Transit,,7.062
HAT-P-27,b,HAT-P-27 b,Transit,,11.430
HAT-P-28,b,HAT-P-28 b,Transit,1384,13.585
HAT-P-29,b,HAT-P-29 b,Transit,,13.115
HAT-P-3,b,HAT-P-3 b,Transit,,10.536
HAT-P-30,b,HAT-P-30 b,Transit,,16.141
HAT-P-31,b,HAT-P-31 b,Transit,,12.218
HAT-P-32,b,HAT-P-32 b,Transit,1836,22.194
HAT-P-33,b,HAT-P-33 b,Transit,,20.737
HAT-P-34,b,HAT-P-34 b,Transit,,13.417
HAT-P-35,b,HAT-P-35 b,Transit,,14.930
HAT-P-36,b,HAT-P-36 b,Transit,1781,14.314
HAT-P-37,b,HAT-P-37 b,Transit,1271,13.204
HAT-P-38,b,HAT-P-38 b,Transit,1082,9.247
HAT-P-39,b,HAT-P-39 b,Transit,1752,17.609
HAT-P-4,b,HAT-P-4 b,Transit,1686,14.280
HAT-P-40,b,HAT-P-40 b,Transit,,17.038
HAT-P-41,b,HAT-P-41 b,Transit,,22.978
HAT-P-42,b,HAT-P-42 b,Transit,1428,14.348
HAT-P-43,b,HAT-P-43 b,Transit,1361,14.359
HAT-P-44,b,HAT-P-44 b,Transit,1108,13.922
HAT-P-44,c,HAT-P-44 c,Radial Velocity,,
HAT-P-45,b,HAT-P-45 b,Transit,1652,15.984
HAT-P-46,b,HAT-P-46 b,Transit,1458,14.392
HAT-P-49,b,HAT-P-49 b,Transit,,17.822
HAT-P-5,b,HAT-P-5 b,Transit,,13.563
HAT-P-50,b,HAT-P-50 b,Transit,1862,14.437
HAT-P-51,b,HAT-P-51 b,Transit,1192,14.493
HAT-P-52,b,HAT-P-52 b,Transit,1218,11.310
HAT-P-53,b,HAT-P-53 b,Transit,1778,14.773
HAT-P-54,b,HAT-P-54 b,Transit,818,10.581
HAT-P-55,b,HAT-P-55 b,Transit,1313,13.249
HAT-P-56,b,HAT-P-56 b,Transit,,16.926
HAT-P-57,b,HAT-P-57 b,Transit,,19.504
HAT-P-6,b,HAT-P-6 b,Transit,,16.589
HAT-P-65,b,HAT-P-65 b,Transit,1930,21.185
HAT-P-66,b,HAT-P-66 b,Transit,1896,17.822
HAT-P-67,b,HAT-P-67 b,Transit,1903,23.371
HAT-P-69,b,HAT-P-69 b,Transit,1930,18.786
HAT-P-7,b,HAT-P-7 b,Transit,,16.926
HAT-P-70,b,HAT-P-70 b,Transit,2562,20.961
HAT-P-8,b,HAT-P-8 b,Transit,,15.693
HAT-P-9,b,HAT-P-9 b,Transit,1540,15.614
HATS-1,b,HATS-1 b,Transit,1359,14.594
HATS-10,b,HATS-10 b,Transit,1407,10.862
HATS-11,b,HATS-11 b,Transit,1596,18.030
HATS-12,b,HATS-12 b,Transit,1446,7.760
HATS-13,b,HATS-13 b,Transit,1244,13.585
HATS-14,b,HATS-14 b,Transit,1276,11.646
HATS-15,b,HATS-15 b,Transit,1505,12.386
HATS-16,b,HATS-16 b,Transit,1592,14.572
HATS-17,b,HATS-17 b,Transit,814,8.709
HATS-18,b,HATS-18 b,Transit,2069,14.897
HATS-2,b,HATS-2 b,Transit,1577,13.092
HATS-22,b,HATS-22 b,Transit,858,10.682
HATS-23,b,HATS-23 b,Transit,1654,20.849
HATS-24,b,HATS-24 b,Transit,2166,15.637
HATS-25,b,HATS-25 b,Transit,1277,14.123
HATS-26,b,HATS-26 b,Transit,1918,19.616
HATS-27,b,HATS-27 b,Transit,1659,16.814
HATS-28,b,HATS-28 b,Transit,1253,13.384
HATS-29,b,HATS-29 b,Transit,1212,14.022
HATS-3,b,HATS-3 b,Transit,1648,15.480
HATS-30,b,HATS-30 b,Transit,1414,13.171
HATS-31,b,HATS-31 b,Transit,1823,18.383
HATS-32,b,HATS-32 b,Transit,1437,14.000
HATS-33,b,HATS-33 b,Transit,1429,13.787
HATS-34,b,HATS-34 b,Transit,1445,16.029
HATS-35,b,HATS-35 b,Transit,2037,16.410
HATS-36,b,HATS-36 b,Transit,1203,12.920
HATS-39,b,HATS-39 b,Transit,1645,17.598
HATS-4,b,HATS-4 b,Transit,1315,11.433
HATS-40,b,HATS-40 b,Transit,2101,17.710
HATS-41,b,HATS-41 b,Transit,1710,14.908
HATS-42,b,HATS-42 b,Transit,1856,15.693
HATS-43,b,HATS-43 b,Transit,1003,13.227
HATS-44,b,HATS-44 b,Transit,1161,11.960
HATS-45,b,HATS-45 b,Transit,1518,14.415
HATS-46,b,HATS-46 b,Transit,1054,10.122
HATS-47,b,HATS-47 b,Transit,853,12.520
HATS-48 A,b,HATS-48 A b,Transit,955,8.967
HATS-49,b,HATS-49 b,Transit,835,8.575
HATS-5,b,HATS-5 b,Transit,1025,10.223
HATS-50,b,HATS-50 b,Transit,,12.666
HATS-51,b,HATS-51 b,Transit,1553,15.805
HATS-52,b,HATS-52 b,Transit,1834,15.491
HATS-53,b,HATS-53 b,Transit,1312,15.020
HATS-54,b,HATS-54 b,Transit,1625,11.960
HATS-55,b,HATS-55 b,Transit,1367,14.022
HATS-56,b,HATS-56 b,Transit,1902,18.921
HATS-57,b,HATS-57 b,Transit,1413,12.767
HATS-58 A,b,HATS-58 A b,Transit,1721,12.274
HATS-59,b,HATS-59 b,Transit,1128,12.621
HATS-59,c,HATS-59 c,Radial Velocity,176,
HATS-6,b,HATS-6 b,Transit,713,11.187
HATS-60,b,HATS-60 b,Transit,1528,12.924
HATS-61,b,HATS-61 b,Transit,1226,13.395
HATS-62,b,HATS-62 b,Transit,1237,11.825
HATS-63,b,HATS-63 b,Transit,1398,13.529
HATS-64,b,HATS-64 b,Transit,1793,18.820
HATS-65,b,HATS-65 b,Transit,1634,16.825
HATS-66,b,HATS-66 b,Transit,1998,15.816
HATS-67,b,HATS-67 b,Transit,2193,18.887
HATS-68,b,HATS-68 b,Transit,1741,13.809
HATS-69,b,HATS-69 b,Transit,1296,10.593
HATS-7,b,HATS-7 b,Transit,1084,6.311
HATS-70,b,HATS-70 b,Transit,2730,15.513
HATS-72,b,HATS-72 b,Transit,739,8.097
HATS-8,b,HATS-8 b,Transit,1324,9.785
HATS-9,b,HATS-9 b,Transit,1746,13.850
HD 100546,b,HD 100546 b,Imaging,,77.342
HD 100655,b,HD 100655 b,Radial Velocity,,
HD 100777,b,HD 100777 b,Radial Velocity,,
HD 10180,c,HD 10180 c,Radial Velocity,,
HD 10180,d,HD 10180 d,Radial Velocity,,
HD 10180,e,HD 10180 e,Radial Velocity,,
HD 10180,f,HD 10180 f,Radial Velocity,,
HD 10180,g,HD 10180 g,Radial Velocity,,
HD 10180,h,HD 10180 h,Radial Velocity,,
HD 101930,b,HD 101930 b,Radial Velocity,,
HD 102117,b,HD 102117 b,Radial Velocity,,
HD 102195,b,HD 102195 b,Radial Velocity,,
HD 102272,b,HD 102272 b,Radial Velocity,,
HD 102329,b,HD 102329 b,Radial Velocity,,
HD 102329,c,HD 102329 c,Radial Velocity,,
HD 102365,b,HD 102365 b,Radial Velocity,,
HD 102843,b,HD 102843 b,Radial Velocity,,
HD 102956,b,HD 102956 b,Radial Velocity,,
HD 103197,b,HD 103197 b,Radial Velocity,,
HD 103720,b,HD 103720 b,Radial Velocity,,
HD 103774,b,HD 103774 b,Radial Velocity,,
HD 103949,b,HD 103949 b,Radial Velocity,,
HD 104067,b,HD 104067 b,Radial Velocity,,
HD 10442,b,HD 10442 b,Radial Velocity,,
HD 104985,b,HD 104985 b,Radial Velocity,,
HD 106252,b,HD 106252 b,Radial Velocity,,
HD 106270,b,HD 106270 b,Radial Velocity,,
HD 106315,b,HD 106315 b,Transit,1153,2.440
HD 106315,c,HD 106315 c,Transit,886,4.350
HD 10647,b,HD 10647 b,Radial Velocity,,
HD 106515 A,b,HD 106515 A b,Radial Velocity,,
HD 106906,b,HD 106906 b,Imaging,1800,
HD 10697,b,HD 10697 b,Radial Velocity,,
HD 107148,b,HD 107148 b,Radial Velocity,,
HD 108147,b,HD 108147 b,Radial Velocity,,
HD 108341,b,HD 108341 b,Radial Velocity,,
HD 108863,b,HD 108863 b,Radial Velocity,,
HD 108874,b,HD 108874 b,Radial Velocity,,
HD 108874,c,HD 108874 c,Radial Velocity,,
HD 109246,b,HD 109246 b,Radial Velocity,,
HD 109271,b,HD 109271 b,Radial Velocity,,
HD 109271,c,HD 109271 c,Radial Velocity,,
HD 109749,b,HD 109749 b,Radial Velocity,,
HD 110014,b,HD 110014 b,Radial Velocity,,
HD 111232,b,HD 111232 b,Radial Velocity,,
HD 111591,b,HD 111591 b,Radial Velocity,,
HD 111998,b,HD 111998 b,Radial Velocity,,
HD 113337,b,HD 113337 b,Radial Velocity,,
HD 113538,b,HD 113538 b,Radial Velocity,,
HD 113538,c,HD 113538 c,Radial Velocity,,
HD 113996,b,HD 113996 b,Radial Velocity,,
HD 114386,b,HD 114386 b,Radial Velocity,,
HD 114613,b,HD 114613 b,Radial Velocity,,
HD 114729,b,HD 114729 b,Radial Velocity,,
HD 114762,b,HD 114762 b,Radial Velocity,,
HD 114783,b,HD 114783 b,Radial Velocity,,
HD 114783,c,HD 114783 c,Radial Velocity,,
HD 11506,b,HD 11506 b,Radial Velocity,,
HD 11506,c,HD 11506 c,Radial Velocity,,
HD 116029,b,HD 116029 b,Radial Velocity,,
HD 116029,c,HD 116029 c,Radial Velocity,,
HD 117207,b,HD 117207 b,Radial Velocity,,
HD 11755,b,HD 11755 b,Radial Velocity,,
HD 117618,b,HD 117618 b,Radial Velocity,,
HD 118203,b,HD 118203 b,Radial Velocity,,
HD 119130,b,HD 119130 b,Transit,795,2.630
HD 11964,b,HD 11964 b,Radial Velocity,,
HD 11964,c,HD 11964 c,Radial Velocity,,
HD 11977,b,HD 11977 b,Radial Velocity,,
HD 120084,b,HD 120084 b,Radial Velocity,,
HD 121504,b,HD 121504 b,Radial Velocity,,
HD 12484,b,HD 12484 b,Radial Velocity,,
HD 125390,b,HD 125390 b,Radial Velocity,,
HD 125595,b,HD 125595 b,Radial Velocity,,
HD 125612,b,HD 125612 b,Radial Velocity,,
HD 125612,c,HD 125612 c,Radial Velocity,,
HD 125612,d,HD 125612 d,Radial Velocity,,
HD 12648,b,HD 12648 b,Radial Velocity,,
HD 126525,b,HD 126525 b,Radial Velocity,,
HD 12661,b,HD 12661 b,Radial Velocity,,
HD 12661,c,HD 12661 c,Radial Velocity,,
HD 126614,b,HD 126614 b,Radial Velocity,,
HD 128311,b,HD 128311 b,Radial Velocity,,
HD 128311,c,HD 128311 c,Radial Velocity,,
HD 128356,b,HD 128356 b,Radial Velocity,,
HD 129445,b,HD 129445 b,Radial Velocity,,
HD 130322,b,HD 130322 b,Radial Velocity,,
HD 131496,b,HD 131496 b,Radial Velocity,,
HD 131664,b,HD 131664 b,Radial Velocity,,
HD 13167,b,HD 13167 b,Radial Velocity,,
HD 13189,b,HD 13189 b,Radial Velocity,,
HD 132406,b,HD 132406 b,Radial Velocity,,
HD 132563,b,HD 132563 b,Radial Velocity,,
HD 133131 A,b,HD 133131 A b,Radial Velocity,,
HD 133131 A,c,HD 133131 A c,Radial Velocity,,
HD 133131 B,b,HD 133131 B b,Radial Velocity,,
HD 134060,b,HD 134060 b,Radial Velocity,,
HD 134060,c,HD 134060 c,Radial Velocity,,
HD 134987,b,HD 134987 b,Radial Velocity,,
HD 134987,c,HD 134987 c,Radial Velocity,,
HD 136352,b,HD 136352 b,Radial Velocity,,
HD 136352,c,HD 136352 c,Radial Velocity,,
HD 136352,d,HD 136352 d,Radial Velocity,,
HD 136418,b,HD 136418 b,Radial Velocity,,
HD 13724,b,HD 13724 b,Radial Velocity,,
HD 137388,b,HD 137388 b,Radial Velocity,,
HD 13908,b,HD 13908 b,Radial Velocity,,
HD 13908,c,HD 13908 c,Radial Velocity,,
HD 13931,b,HD 13931 b,Radial Velocity,,
HD 139357,b,HD 139357 b,Radial Velocity,,
HD 1397,b,HD 1397 b,Transit,1228,11.500
HD 14067,b,HD 14067 b,Radial Velocity,,
HD 141399,b,HD 141399 b,Radial Velocity,,
HD 141399,c,HD 141399 c,Radial Velocity,,
HD 141399,d,HD 141399 d,Radial Velocity,,
HD 141399,e,HD 141399 e,Radial Velocity,,
